i,n,a,b,true_a_closer,estimate_a_closer
1,1.0000000000000002,0.057075810968381116,0.009859549956237746,False,True
2,0.9999999999999998,0.01389007493553725,0.004598199763271673,True,True
3,1.0000000000000007,0.0,0.08079213700067941,True,False
4,1.0000000000000002,0.03348429692752799,0.030867014832175594,True,True
5,0.9999999999999982,0.01524980224890203,0.013498801167460764,False,True
6,0.9999999999999973,0.00941849929867067,0.011426070912945094,True,False
7,1.0000000000000007,0.010029923687994591,0.01920651755040558,False,False
8,1.0000000000000002,0.059074416926209364,0.032931554246174985,True,True
9,0.9999999999999994,0.0397331781774546,0.024209447433565137,True,True
10,0.9999999999999998,0.03090702275828259,0.017734347653078755,False,True
11,0.9999999999999993,0.0,0.03529599375355734,False,False
12,0.9999999999999998,0.005957187979394939,0.05523258970578061,False,False
13,1.0,0.032757684493749044,0.0,True,True
14,0.9999999999999992,0.013967051911896601,0.006028605175435991,False,True
15,1.0000000000000009,0.03184543540995454,0.02298547191357308,True,True
16,1.0,0.029873807629786246,0.01897108129227918,False,True
17,0.9999999999999999,0.01329070267324407,0.0335806088118972,False,False
18,1.0000000000000022,0.010285714361168465,0.023941699726936376,False,False
19,0.9999999999999996,0.0,0.021175443687725556,True,False
20,1.0000000000000016,0.0,0.03796849470772511,False,False
21,0.9999999999999998,0.009052359697701993,0.05195311401596634,False,False
22,1.0,0.028663303817804332,0.0,False,True
23,0.9999999999999996,0.016859884603444883,0.011686448563917172,False,True
24,0.9999999999999982,0.03705442127973931,0.017799419780415455,False,True
25,1.0000000000000002,0.007705499050634862,0.035659963272709726,False,False
26,1.0000000000000027,0.009917028695269694,0.0361343289812879,True,False
27,1.000000000000002,0.05882984077690583,0.0757212011422439,False,False
28,1.0,0.01726484409795515,0.019586015712156502,True,False
29,1.0000000000000004,0.01096054860882874,0.05229154767323574,False,False
30,1.0000000000000002,0.014657179972141486,0.0,True,True
31,1.0000000000000002,0.02522685519135069,0.0,False,True
32,0.9999999999999993,0.04076742482809748,0.025805813248283103,False,True
33,0.9999999999999996,0.008171606296147903,0.03719383117727056,True,False
34,1.0000000000000004,0.049165769015558754,0.03665961715865758,False,True
35,1.0000000000000013,0.0,0.06383633702212652,True,False
36,0.9999999999999996,0.029711917126206105,0.009264358257382779,False,True
37,0.9999999999999997,0.012782634201729603,0.01851415605914404,False,False
38,1.0000000000000002,0.029894526492500902,0.018642264620995972,True,True
39,0.9999999999999998,0.09030081133260623,0.06747170336108065,False,True
